theme,avg_demand_raw,recent_demand_raw,slope_raw,acceleration_raw,volatility_raw,avg_demand_score,recent_demand_score,slope_score,acceleration_score,stability_score,priority_score,avg_rating,avg_votes,total_titles,rating_score,popularity_score,supply_score,opportunity_score,estimated_value_millions
fantasy books,77.88461538461539,70.5,0.4299496286177754,17.384615384615387,11.706632687018852,1.0,1.0,1.0,1.0,0.0,0.95,6.113105205678921,6936.292318893338,5494,0.773496329949956,0.44648037228275445,0.02156098205729769,0.8578277798393615,42.89138899196808
science fiction books,14.057692307692308,12.5,0.1816357892939469,5.884615384615385,4.872545984806846,0.0571022727272727,0.0210970464135021,0.2919912366114889,0.3325892857142857,0.7019484449899863,0.1803885676810717,5.644927190260205,11082.90642158033,4189,0.44243957087958924,1.0,0.0,0.5901942838405358,29.50971419202679
dystopian books,10.192307692307692,11.25,0.0829847178348843,2.4615384615384617,1.9707514396296688,0.0,0.0,0.0107108081791616,0.1339285714285714,1.0,0.0727669877590761,5.644927190260205,11082.90642158033,4189,0.44243957087958924,1.0,0.0,0.536383493879538,26.819174693976898
horror books,33.15384615384615,29.5,0.0792282079740463,0.1538461538461533,4.560635556778203,0.3392045454545454,0.3080168776371308,0.0,0.0,0.7339856504676401,0.2154648655690283,5.019232427770591,3915.578625844473,13914,0.0,0.04325396215374642,0.16067475134652875,0.3681807998113048,18.40903999056524
historical fiction books,20.0,19.0,0.1385639887304703,5.2307692307692335,3.804022638641116,0.1448863636363636,0.1308016877637131,0.1691820837390446,0.2946428571428572,0.8116995110737341,0.2032432560917138,6.4334250173839145,3591.547678281697,64715,1.0,0.0,1.0,0.1016216280458569,5.0810814022928446
