theme,avg_demand_raw,recent_demand_raw,slope_raw,acceleration_raw,volatility_raw,avg_demand_score,recent_demand_score,slope_score,acceleration_score,stability_score,priority_score
fantasy books,77.88461538461539,70.5,0.4299496286177754,17.384615384615387,11.706632687018853,1.0,1.0,1.0,1.0,0.0,0.9500000000000001
horror books,33.15384615384615,29.5,0.0792282079740463,0.1538461538461533,4.560635556778203,0.3392045454545454,0.3080168776371308,0.0,0.0,0.7339856504676401,0.21546486556902833
historical fiction books,20.0,19.0,0.13856398873047038,5.2307692307692335,3.804022638641116,0.14488636363636365,0.1308016877637131,0.16918208373904464,0.29464285714285726,0.8116995110737341,0.20324325609171381
science fiction books,14.057692307692308,12.5,0.18163578929394694,5.884615384615385,4.872545984806846,0.057102272727272745,0.02109704641350211,0.2919912366114889,0.3325892857142857,0.7019484449899863,0.18038856768107175
dystopian books,10.192307692307692,11.25,0.08298471783488434,2.4615384615384617,1.9707514396296688,0.0,0.0,0.010710808179161643,0.13392857142857145,1.0,0.07276698775907613
